n:122 mse_avg:1.41 mse_y:1.67 mse_u:0.93 mse_v:0.86 psnr_avg:46.60 psnr_y:45.91 psnr_u:48.44 psnr_v:48.78 
n:123 mse_avg:1.41 mse_y:1.67 mse_u:0.93 mse_v:0.86 psnr_avg:46.61 psnr_y:45.91 psnr_u:48.43 psnr_v:48.81 
n:124 mse_avg:1.90 mse_y:2.40 mse_u:0.94 mse_v:0.87 psnr_avg:45.31 psnr_y:44.33 psnr_u:48.38 psnr_v:48.74 
n:125 mse_avg:1.62 mse_y:1.99 mse_u:0.93 mse_v:0.84 psnr_avg:46.00 psnr_y:45.14 psnr_u:48.43 psnr_v:48.91 
n:126 mse_avg:1.08 mse_y:1.22 mse_u:0.82 mse_v:0.78 psnr_avg:47.76 psnr_y:47.26 psnr_u:48.97 psnr_v:49.23 
n:127 mse_avg:1.41 mse_y:1.67 mse_u:0.94 mse_v:0.86 psnr_avg:46.60 psnr_y:45.91 psnr_u:48.40 psnr_v:48.80 
n:128 mse_avg:1.40 mse_y:1.66 mse_u:0.92 mse_v:0.85 psnr_avg:46.63 psnr_y:45.93 psnr_u:48.50 psnr_v:48.83 
n:129 mse_avg:1.89 mse_y:2.38 mse_u:0.95 mse_v:0.86 psnr_avg:45.33 psnr_y:44.36 psnr_u:48.37 psnr_v:48.76 
n:130 mse_avg:1.64 mse_y:2.01 mse_u:0.94 mse_v:0.84 psnr_avg:45.95 psnr_y:45.09 psnr_u:48.40 psnr_v:48.90 
n:131 mse_avg:1.07 mse_y:1.20 mse_u:0.84 mse_v:0.77 psnr_avg:47.82 psnr_y:47.35 psnr_u:48.87 psnr_v:49.29 
n:132 mse_avg:1.41 mse_y:1.66 mse_u:0.96 mse_v:0.86 psnr_avg:46.60 psnr_y:45.92 psnr_u:48.32 psnr_v:48.80 
n:133 mse_avg:1.64 mse_y:2.02 mse_u:0.95 mse_v:0.81 psnr_avg:45.95 psnr_y:45.08 psnr_u:48.36 psnr_v:49.02 
n:134 mse_avg:1.64 mse_y:2.01 mse_u:0.95 mse_v:0.84 psnr_avg:45.95 psnr_y:45.10 psnr_u:48.36 psnr_v:48.89 
n:135 mse_avg:1.92 mse_y:2.41 mse_u:0.98 mse_v:0.87 psnr_avg:45.27 psnr_y:44.31 psnr_u:48.20 psnr_v:48.72 
n:136 mse_avg:1.08 mse_y:1.22 mse_u:0.84 mse_v:0.78 psnr_avg:47.76 psnr_y:47.28 psnr_u:48.90 psnr_v:49.23 
n:137 mse_avg:1.41 mse_y:1.66 mse_u:0.94 mse_v:0.84 psnr_avg:46.62 psnr_y:45.92 psnr_u:48.42 psnr_v:48.89 
n:138 mse_avg:1.39 mse_y:1.63 mse_u:0.93 mse_v:0.86 psnr_avg:46.68 psnr_y:46.01 psnr_u:48.45 psnr_v:48.80 
n:139 mse_avg:1.91 mse_y:2.43 mse_u:0.94 mse_v:0.84 psnr_avg:45.28 psnr_y:44.28 psnr_u:48.40 psnr_v:48.87 
n:140 mse_avg:1.63 mse_y:2.00 mse_u:0.94 mse_v:0.83 psnr_avg:45.98 psnr_y:45.12 psnr_u:48.40 psnr_v:48.94 
n:141 mse_avg:1.07 mse_y:1.21 mse_u:0.85 mse_v:0.75 psnr_avg:47.79 psnr_y:47.31 psnr_u:48.84 psnr_v:49.37 
n:142 mse_avg:1.42 mse_y:1.68 mse_u:0.95 mse_v:0.84 psnr_avg:46.58 psnr_y:45.88 psnr_u:48.34 psnr_v:48.88 
n:143 mse_avg:1.41 mse_y:1.67 mse_u:0.95 mse_v:0.85 psnr_avg:46.60 psnr_y:45.91 psnr_u:48.36 psnr_v:48.84 
n:144 mse_avg:1.88 mse_y:2.37 mse_u:0.96 mse_v:0.84 psnr_avg:45.36 psnr_y:44.39 psnr_u:48.31 psnr_v:48.90 
n:145 mse_avg:1.87 mse_y:2.34 mse_u:0.97 mse_v:0.86 psnr_avg:45.39 psnr_y:44.44 psnr_u:48.25 psnr_v:48.76 
n:146 mse_avg:1.08 mse_y:1.22 mse_u:0.85 mse_v:0.76 psnr_avg:47.77 psnr_y:47.28 psnr_u:48.86 psnr_v:49.34 
n:147 mse_avg:1.41 mse_y:1.66 mse_u:0.96 mse_v:0.84 psnr_avg:46.62 psnr_y:45.93 psnr_u:48.32 psnr_v:48.86 
n:148 mse_avg:1.65 mse_y:2.03 mse_u:0.93 mse_v:0.84 psnr_avg:45.93 psnr_y:45.07 psnr_u:48.44 psnr_v:48.87 
n:149 mse_avg:1.64 mse_y:2.02 mse_u:0.95 mse_v:0.84 psnr_avg:45.94 psnr_y:45.08 psnr_u:48.36 psnr_v:48.89 
n:150 mse_avg:1.92 mse_y:2.43 mse_u:0.96 mse_v:0.85 psnr_avg:45.26 psnr_y:44.28 psnr_u:48.33 psnr_v:48.82 
n:151 mse_avg:1.07 mse_y:1.20 mse_u:0.86 mse_v:0.78 psnr_avg:47.79 psnr_y:47.33 psnr_u:48.80 psnr_v:49.22 
n:152 mse_avg:1.43 mse_y:1.69 mse_u:0.97 mse_v:0.85 psnr_avg:46.53 psnr_y:45.84 psnr_u:48.26 psnr_v:48.83 
n:153 mse_avg:1.41 mse_y:1.67 mse_u:0.96 mse_v:0.85 psnr_avg:46.59 psnr_y:45.91 psnr_u:48.31 psnr_v:48.82 
n:154 mse_avg:1.63 mse_y:2.00 mse_u:0.94 mse_v:0.83 psnr_avg:45.99 psnr_y:45.13 psnr_u:48.41 psnr_v:48.93 
n:155 mse_avg:1.91 mse_y:2.41 mse_u:0.96 mse_v:0.86 psnr_avg:45.28 psnr_y:44.30 psnr_u:48.31 psnr_v:48.80 
n:156 mse_avg:1.07 mse_y:1.21 mse_u:0.84 mse_v:0.77 psnr_avg:47.79 psnr_y:47.31 psnr_u:48.90 psnr_v:49.28 
n:157 mse_avg:1.40 mse_y:1.66 mse_u:0.93 mse_v:0.86 psnr_avg:46.63 psnr_y:45.94 psnr_u:48.44 psnr_v:48.76 
n:158 mse_avg:1.43 mse_y:1.69 mse_u:0.94 mse_v:0.86 psnr_avg:46.56 psnr_y:45.86 psnr_u:48.38 psnr_v:48.78 
n:159 mse_avg:1.62 mse_y:1.99 mse_u:0.94 mse_v:0.84 psnr_avg:46.00 psnr_y:45.15 psnr_u:48.42 psnr_v:48.89 
n:160 mse_avg:1.89 mse_y:2.37 mse_u:0.96 mse_v:0.87 psnr_avg:45.34 psnr_y:44.38 psnr_u:48.29 psnr_v:48.75 
n:161 mse_avg:1.08 mse_y:1.22 mse_u:0.84 mse_v:0.78 psnr_avg:47.76 psnr_y:47.28 psnr_u:48.87 psnr_v:49.23 
n:162 mse_avg:1.39 mse_y:1.65 mse_u:0.94 mse_v:0.83 psnr_avg:46.65 psnr_y:45.96 psnr_u:48.41 psnr_v:48.92 
n:163 mse_avg:1.62 mse_y:2.00 mse_u:0.93 mse_v:0.80 psnr_avg:45.99 psnr_y:45.12 psnr_u:48.45 psnr_v:49.08 
n:164 mse_avg:1.65 mse_y:2.04 mse_u:0.94 mse_v:0.82 psnr_avg:45.91 psnr_y:45.03 psnr_u:48.41 psnr_v:48.98 
n:165 mse_avg:1.90 mse_y:2.40 mse_u:0.96 mse_v:0.84 psnr_avg:45.31 psnr_y:44.34 psnr_u:48.32 psnr_v:48.88 
n:166 mse_avg:1.08 mse_y:1.21 mse_u:0.85 mse_v:0.77 psnr_avg:47.77 psnr_y:47.29 psnr_u:48.85 psnr_v:49.29 
n:167 mse_avg:1.40 mse_y:1.65 mse_u:0.93 mse_v:0.86 psnr_avg:46.64 psnr_y:45.96 psnr_u:48.43 psnr_v:48.81 
n:168 mse_avg:1.42 mse_y:1.67 mse_u:0.95 mse_v:0.86 psnr_avg:46.59 psnr_y:45.89 psnr_u:48.37 psnr_v:48.81 
